name,lat,lng,priority,type
"George Town",19.3,-81.383333,7,1
"N'Djamena",12.1,15.033333,3,1
"Santiago",-33.45,-70.666667,2,1
"Beijing",39.916666666666664,116.383333,2,1
"The Settlement",-10.416666666666666,105.716667,5,1
"West Island",-12.166666666666666,96.833333,6,1
"Bogota",4.6,-74.083333,2,1
"Moroni",-11.7,43.233333,4,1
"Kinshasa",-4.316666666666666,15.300000,8,1
"Brazzaville",-4.25,15.283333,3,1
"Avarua",-21.2,-159.766667,5,1
"San Jose",9.933333333333334,-84.083333,4,1
"Yamoussoukro",6.816666666666666,-5.266667,3,1
"Zagreb",45.8,16.000000,3,1
"Havana",23.116666666666667,-82.350000,3,1
"Willemstad",12.1,-68.916667,5,1
"Nicosia",35.166666666666664,33.366667,6,1
"Prague",50.083333333333336,14.466667,3,1
"Copenhagen",55.666666666666664,12.583333,3,1
"Djibouti",11.583333333333334,43.150000,3,1
"Roseau",15.3,-61.400000,5,1
"Santo Domingo",18.466666666666665,-69.900000,3,1
"Quito",-0.21666666666666667,-78.500000,2,1
"Cairo",30.05,31.250000,3,1
"San Salvador",13.7,-89.200000,4,1
"Malabo",3.75,8.783333,3,1
"Asmara",15.333333333333334,38.933333,4,1
"Tallinn",59.43333333333333,24.716667,3,1
"Addis Ababa",9.033333333333333,38.700000,3,1
"Stanley",-51.7,-57.850000,3,1
"Torshavn",62,-6.766667,4,1
"Suva",-18.133333333333333,178.416667,3,1
"Helsinki",60.166666666666664,24.933333,2,1
"Paris",48.86666666666667,2.333333,2,1
"Papeete",-17.533333333333335,-149.566667,5,1
"Libreville",2.38333333333333336,9.450000,3,1
"Banjul",13.45,-16.566667,6,1
"Tbilisi",41.68333333333333,44.833333,3,1
"Berlin",52.516666666666666,13.400000,2,1
"Accra",5.55,-0.216667,3,1
"Gibraltar",36.13333333333333,-5.350000,7,1
"Athens",37.983333333333334,23.733333,3,1
"Nuuk",64.18333333333334,-51.750000,3,1
"Saint George's",12.05,-61.750000,3,1
"Hagatna",13.466666666666667,144.733333,7,1
"Guatemala City",14.616666666666667,-90.516667,3,1
"Saint Peter Port",49.45,-2.533333,6,1
"Bissau",11.85,-15.583333,5,1
"Georgetown",6.8,-58.150000,2,1
"Port-au-Prince",18.533333333333335,-72.333333,3,1
"Tegucigalpa",14.1,-87.216667,3,1
"Budapest",47.5,19.083333,3,1
"Reykjavik",64.15,-21.950000,2,1
"New Delhi",28.6,77.200000,2,1
"Jakarta",-6.166666666666667,106.816667,3,1
"Tehran",35.7,51.416667,2,1
"Baghdad",33.333333333333336,44.400000,3,1
"Dublin",53.31666666666667,-6.233333,3,1
"Douglas",54.15,-4.483333,3,1
"Jerusalem",31.766666666666666,35.233333,3,1
"Rome",41.9,12.483333,3,1
"Kingston",18,-76.800000,8,1
"Tokyo",35.68333333333333,139.750000,2,1
"Saint Helier",49.18333333333333,-2.100000,6,1
"Amman",31.95,35.933333,5,1
"Astana",51.166666666666664,71.416667,3,1
"Nairobi",-1.2833333333333332,36.816667,3,1
"Tarawa",-0.8833333333333333,169.533333,3,1
"Pyongyang",39.016666666666666,125.750000,3,1
"Seoul",37.55,126.983333,3,1
"Pristina",42.666666666666664,21.166667,5,1
"Kuwait City",29.366666666666667,47.966667,4,1
"Bishkek",42.86666666666667,74.600000,3,1
"Vientiane",17.966666666666665,102.600000,3,1
"Riga",56.95,24.100000,3,1
"Beirut",33.86666666666667,35.500000,3,1
"Maseru",-29.316666666666666,27.483333,3,1
"Monrovia",6.3,-10.800000,4,1
"Tripoli",32.88333333333333,13.166667,2,1
"Vaduz",47.13333333333333,9.516667,6,1
"Vilnius",54.68333333333333,25.316667,3,1
"Luxembourg",49.6,6.116667,3,1
"Skopje",42,21.433333,3,1
"Antananarivo",-18.916666666666668,47.516667,3,1
"Lilongwe",-13.966666666666667,33.783333,3,1
"Kuala Lumpur",3.1666666666666665,101.700000,3,1
"Male",4.166666666666667,73.500000,3,1
"Bamako",12.65,-8.000000,3,1
"Valletta",35.88333333333333,14.500000,6,1
"Majuro",7.1,171.383333,6,1
"Nouakchott (نواكشوط)",18.066666666666666,-15.966667,3,1
"Port Louis",-20.15,57.483333,3,1
"Mexico City",19.433333333333334,-99.133333,1,1
"Palikir",6.916666666666667,158.150000,6,1
"Chisinau",47,28.850000,3,1
"Monaco",43.733333333333334,7.416667,7,1
"Ulaanbaatar",47.916666666666664,106.916667,3,1
"Podgorica",42.43333333333333,19.266667,3,1
"Plymouth",16.7,-62.216667,6,1
"Rabat",34.016666666666666,-6.816667,3,1
"Maputo",-25.95,32.583333,3,1
"Windhoek",-22.566666666666666,17.083333,3,1
"Kathmandu",27.716666666666665,85.316667,3,1
"Amsterdam",52.35,4.916667,3,1
"Noumea",-22.266666666666666,166.450000,3,1
"Wellington",-41.3,174.783333,3,1
"Managua",12.133333333333333,-86.250000,3,1
"Niamey",13.516666666666667,2.116667,3,1
"Abuja",9.083333333333334,7.533333,4,1
"Alofi",-19.016666666666666,-169.916667,6,1
"Kingston",-29.05,167.966667,3,1
"Saipan",15.2,145.750000,3,1
"Oslo",59.916666666666664,10.750000,3,1
"Muscat",23.616666666666667,58.583333,3,1
"Islamabad",33.68333333333333,73.050000,3,1
"Melekeok",7.483333333333333,134.633333,6,1
"Panama City",8.966666666666667,-79.533333,3,1
"Port Moresby",-9.45,147.183333,3,1
"Asuncion",-25.266666666666666,-57.666667,2,1
"Lima",-12.05,-77.050000,2,1
"Manila",14.6,120.966667,3,1
"Adamstown",-25.066666666666666,-130.083333,3,1
"Warsaw",52.25,21.000000,2,1
"Lisbon",38.71666666666667,-9.133333,2,1
"San Juan",18.466666666666665,-66.116667,3,1
"Doha",25.283333333333335,51.533333,4,1
"Bucharest",44.43333333333333,26.100000,3,1
"Moscow",55.75,37.600000,2,1
"Kigali",-1.95,30.050000,5,1
"Gustavia",17.883333333333333,-62.850000,6,1
"Jamestown",-15.933333333333334,-5.716667,7,1
"Basseterre",17.3,-62.716667,6,1
"Castries",14,-61.000000,5,1
"Saint-Pierre",46.766666666666666,-56.183333,3,1
"Kingstown",13.133333333333333,-61.216667,5,1
"Apia",-13.816666666666666,-171.766667,4,1
"San Marino",43.93333333333333,12.416667,7,1
"Sao Tome",2.3333333333333333,6.733333,6,1
"Riyadh",24.65,46.700000,3,1
"Dakar",14.733333333333333,-17.633333,3,1
"Belgrade",44.833333333333336,20.500000,3,1
"Victoria",-4.616666666666667,55.450000,3,1
"Freetown",8.483333333333333,-13.233333,4,1
"Singapore",1.2833333333333332,103.850000,5,1
"Philipsburg",18.016666666666666,-63.033333,6,1
"Bratislava",48.15,17.116667,4,1
"Ljubljana",46.05,14.516667,3,1
"Honiara",-9.433333333333334,159.950000,4,1
"Mogadishu",2.066666666666667,45.333333,3,1
"Pretoria",-25.7,28.216667,3,1
"Juba",4.85,31.616667,3,1
"Madrid",40.4,-3.683333,3,1
"Colombo",6.916666666666667,79.833333,3,1
"Khartoum",15.6,32.533333,3,1
"Paramaribo",5.833333333333333,-55.166667,3,1
"Longyearbyen",78.21666666666667,15.633333,3,1
"Mbabane",-26.316666666666666,31.133333,4,1
"Stockholm",59.333333333333336,18.050000,3,1
"Bern",46.916666666666664,7.466667,4,1
"Damascus",33.5,36.300000,3,1
"Taipei",25.033333333333335,121.516667,2,1
"Dushanbe",38.55,68.766667,3,1
"Dar es Salaam",-6.8,39.283333,3,1
"Bangkok",13.75,100.516667,3,1
"Dili",-8.583333333333334,125.600000,3,1
"Lome",6.116666666666666,1.216667,3,1
"Nuku'alofa",-21.133333333333333,-175.200000,6,1
"Port of Spain",10.65,-61.516667,3,1
"Tunis",36.8,10.183333,3,1
"Ankara",39.93333333333333,32.866667,3,1
"Ashgabat",37.95,58.383333,3,1
"Grand Turk",21.466666666666665,-71.133333,4,1
"Funafuti",-8.516666666666667,179.216667,4,1
"Kampala",2.31666666666666665,32.550000,3,1
"Kyiv",50.43333333333333,30.516667,2,1
"Abu Dhabi",24.466666666666665,54.366667,3,1
"London",51.5,-0.083333,2,1
"Washington D.C.",38.883333,-77.000000,2,1
"Montevideo",-34.85,-56.166667,3,1
"Tashkent",41.31666666666667,69.250000,3,1
"Port-Vila",-17.733333333333334,168.316667,3,1
"Caracas",10.483333333333333,-66.866667,2,1
"Hanoi",21.033333333333335,105.850000,3,1
"Charlotte Amalie",18.35,-64.933333,8,1
"Mata-Utu",-13.95,-171.933333,4,1
"Sanaa",15.35,44.200000,3,1
"Lusaka",-15.416666666666666,28.283333,3,1
"Harare",-17.816666666666666,31.033333,3,1
"Washington D.C.",38.883333,-77.000000,3,1
"North Nicosia",35.183333,33.366667,8,1
"Diego Garcia",-7.3,72.400000,3,1
"Andorra",42.546245,1.601554,3,0
"United Arab Emirates",23.424076,53.847818,2,0
"Afghanistan",33.93911,67.709953,0,0
"Antigua and Barbuda",17.060816,-61.796428,2,0
"Anguilla",18.220554,-63.068615,2,0
"Albania",41.153332,20.168331,2,0
"Armenia",40.542235682014386,44.4406030284388,2,0
"Netherlands Antilles",12.226079,-69.060087,5,0
"Angola",-11.202692,17.873887,1,0
"Antarctica",-75.250973,-0.071389,2,0
"Argentina",-38.416097,-65.016672,0,0
"American Samoa",-14.270972,-170.132217,3,0
"Austria",47.516231,14.550072,1,0
"Australia",-25.274398,133.775136,0,0
"Aruba",12.486899929986723,-69.95247863660052,3,0
"Azerbaijan",40.143105,47.576927,3,0
"Bosnia and Herzegovina",43.915886,17.679076,3,0
"Barbados",13.193887,-59.543198,4,0
"Bangladesh",23.400875752826703,90.09579516743929,2,0
"Belgium",50.503887,4.469936,2,0
"Burkina Faso",12.238333,-1.561593,2,0
"Bulgaria",42.733883,25.48583,1,0
"Bahrain",25.930414,50.637772,2,0
"Burundi",-3.373056,29.918886,2,0
"Benin",9.30769,2.315834,2,0
"Bermuda",32.321384,-64.75737,2,0
"Brunei",4.535277,114.727669,2,0
"Bolivia",-16.290154,-63.588653,1,0
"Brazil",-14.235004,-51.92528,0,0
"Bahamas",25.03428,-77.39628,2,0
"Bhutan",27.514162,90.433601,2,0
"Bouvet Island",-54.423199,3.413194,2,0
"Botswana",-22.328474,24.684866,2,0
"Belarus",53.709807,27.953389,1,0
"Belize",16.913944185702082,-88.64777587781163,2,0
"Canada",56.130366,-106.346771,0,0
"Cocos Islands",-12.164165,96.870956,2,0
"Democratic Republic Congo",-3.0619164885186008,23.348991348281743,0,0
"Central African Republic",6.611111,20.939444,1,0
"Republic of Congo",-0.228021,15.827659,2,0
"Switzerland",46.818188,8.227512,2,0
"Côte d'Ivoire",7.539989,-5.54708,2,0
"Cook Islands",-21.236736,-159.777671,2,0
"Chile",-35.675147,-71.542969,0,0
"Cameroon",4.727193823800601,11.992505132983979,1,0
"China",35.86166,104.195397,0,0
"Colombia",3.070868,-73.2975,0,0
"Costa Rica",9.748917,-83.753428,2,0
"Cuba",21.521757,-77.781167,0,0
"Cape Verde",16.002082,-24.013197,2,0
"Christmas Island",-10.447525,105.690449,2,0
"Cyprus",35.126413,33.429859,2,0
"Czech Republic",49.817492,15.472962,2,0
"Germany",51.165691,10.451526,0,0
"Djibouti",11.825138,42.590275,2,0
"Denmark",56.26392,9.501785,2,0
"Dominica",15.414999,-61.370976,4,0
"Dominican Republic",18.962302964931332,-70.44277356949023,3,0
"Algeria",28.033886,1.659626,0,0
"Ecuador",-1.3739351354234037,-78.55879699494244,1,0
"Estonia",58.595272,25.013607,1,0
"Egypt",26.02540187601811,29.512023727737414,0,0
"Western Sahara",24.215527,-12.885834,2,0
"Eritrea",15.179384,39.782334,2,0
"Spain",39.57545933391429,-3.866281737186597,0,0
"Ethiopia",8.39484424701743,39.12204773437509,0,0
"Finland",61.92411,25.748151,0,0
"Fiji",-16.578193,179.414413,2,0
"Falkland Islands",-51.796253,-59.523613,2,0
"Micronesia",6.874584956633689,158.22691220766853,4,0
"Faroe Islands",61.892635,-6.911806,2,0
"France",46.227638,2.213749,0,0
"Gabon",-0.803689,11.609444,2,0
"United Kingdom",52.5246584656565,-1.1000493263376256,1,0
"Grenada",12.262776,-61.604171,4,0
"Georgia",42.315407,43.356892,2,0
"French Guiana",3.933889,-53.125782,3,0
"Guernsey",49.465691,-2.585278,4,0
"Ghana",7.946527,-1.023194,1,0
"Gibraltar",36.119091822884236,-5.3493144884241985,2,0
"Greenland",71.66506381722978,-41.131906737186455,0,0
"Gambia",13.425025440390035,-16.182118089793363,3,0
"Guinea",9.945587,-9.696645,1,0
"Guadeloupe",16.24829395528423,-61.56430228706121,5,0 // Fix Offset
"Equatorial Guinea",1.650801,10.267895,3,0
"Greece",39.074208,21.824312,1,0
"South Georgia and the South Sandwich Islands",-54.429579,-36.587909,2,0
"Guatemala",15.136914179627803,-90.55321225220209,2,0
"Guam",13.444304,144.793731,2,0
"Guinea-Bissau",12.027136700505007,-15.095525446868066,2,0
"Guyana",4.860416,-58.93018,2,0
"Gaza Strip",31.354676,34.308825,4,0
"Hong Kong",22.396428,114.109497,2,0
"Heard Island and McDonald Islands",-53.08181,73.504158,2,0
"Honduras",15.199999,-86.241905,0,0
"Croatia",45.1,15.2,2,0
"Haiti",18.971187,-72.285215,2,0
"Hungary",47.162494,19.503304,1,0
"Indonesia",-0.789275,113.921327,0,0
"Ireland",53.41291,-8.24389,1,0
"Israel",31.046051,34.851612,2,0
"Isle of Man",54.236107,-4.548056,4,0
"India",20.593684,78.96288,0,0
"British Indian Ocean Territory",-6.343194,71.876519,2,0
"Iraq",33.223191,43.679291,0,0
"Iran",32.427908,53.688046,0,0
"Iceland",64.83214760968391,-18.522043455936398,0,0
"Italy",42.69609510117685,12.699727784298005,0,0
"Jersey",49.214439,-2.13125,4,0
"Jamaica",18.109581,-77.297508,1,0
"Jordan",30.585164,36.238414,3,0
"Japan",36.204824,138.252924,1,0
"Kenya",-0.023559,37.906193,0,0
"Kyrgyzstan",41.20438,74.766098,1,0
"Cambodia",12.565679,104.990963,2,0
"Kiribati",-3.370417,-168.734039,2,0
"Comoros",-11.875001,43.872219,2,0
"Saint Kitts and Nevis",17.357822,-62.782998,5,0
"North Korea",40.339852,127.510093,1,0
"South Korea",35.907757,127.766922,1,0
"Kuwait",29.31166,47.481766,2,0
"Cayman Islands",19.317783139085282,-81.18740247574026,2,0
"Kazakhstan",48.019573,66.923684,0,0
"Laos",19.85627,102.495496,1,0
"Lebanon",34.04983452574472,35.89449266351323,2,0
"Saint Lucia",13.909444,-60.978893,3,0
"Liechtenstein",47.16380158747767,9.53944183459086,4,0
"Sri Lanka",7.873054,80.771797,2,0
"Liberia",6.428055,-9.429499,1,0
"Lesotho",-29.609988,28.233608,2,0
"Lithuania",55.169438,23.881275,2,0
"Luxembourg",49.815273,6.129583,2,0
"Latvia",56.879635,24.603189,1,0
"Libya",26.3351,17.228331,0,0
"Morocco",31.791702,-7.09262,0,0
"Monaco",43.750298,7.412841,3,0
"Moldova",47.411631,28.369885,2,0
"Montenegro",42.708678,19.37439,3,0
"Madagascar",-18.766947,46.869107,0,0
"Marshall Islands",7.131474,171.184478,2,0
"Macedonia",41.608635,21.745275,2,0
"Mali",17.96641105845723,-1.8209840847625571,0,0
"Myanmar",21.913965,95.956223,0,0
"Mongolia",46.862496,103.846656,0,0
"Macau",22.198745,113.543873,5,0
"Northern Mariana Islands",17.33083,145.38469,2,0
"Martinique",14.641528,-61.024174,2,0
"Mauritania",19.3823167622919,-11.096458124999998,0,0
"Montserrat",16.742498,-62.187366,5,0
"Malta",35.937496,14.375416,2,0
"Mauritius",-20.348404,57.552152,2,0
"Maldives",3.202778,73.22068,2,0
"Malawi",-13.254308,34.301525,2,0
"Mexico",23.634501,-102.552784,0,0
"Malaysia",4.210484,101.975766,1,0
"Mozambique",-15.240775136149157,38.13445068468866,1,0
"Namibia",-22.134854488609665,17.152702285781743,1,0
"New Caledonia",-20.904305,165.618042,2,0
"Niger",17.50646398493514,9.634743046875087,0,0
"Norfolk Island",-29.040835,167.954712,2,0
"Nigeria",9.081999,8.675277,0,0
"Nicaragua",12.865416,-85.207229,2,0
"Netherlands",52.132633,5.291266,2,0
"Norway",60.472024,8.468946,0,0
"Nepal",28.394857,84.124008,2,0
"Nauru",-0.522778,166.931503,2,0
"Niue",-19.054445,-169.867233,2,0
"New Zealand",-40.900557,174.885971,2,0
"Oman",21.512583,55.923255,0,0
"Panama",8.537981,-80.782127,1,0
"Peru",-7.875033184908477,-76.27364074494243,0,0
"French Polynesia",-17.679742,-149.406843,2,0
"Papua New Guinea",-6.314993,143.95555,0,0
"Philippines",12.879721,121.774017,0,0
"Pakistan",28.28895467402748,66.51213623156363,0,0
"Poland",51.919438,19.145136,0,0
"Saint Pierre and Miquelon",46.941936,-56.27111,2,0
"Pitcairn Islands",-24.703615,-127.439308,2,0
"Puerto Rico",18.220833,-66.490149,2,0 // Fix offset
"Palestinian Territories",31.952162,35.233154,3,0
"Portugal",39.399872,-8.224454,2,0
"Palau",7.51498,134.58252,2,0
"Paraguay",-23.442503,-58.443832,0,0
"Qatar",25.354826,51.183884,2,0
"Réunion",-21.115141,55.536384,2,0
"Romania",45.943161,24.96676,0,0
"Serbia",44.016521,21.005859,1,0
"Russia",61.52401,105.318756,0,0
"Rwanda",-1.940278,29.873888,2,0
"Saudi Arabia",25.712919022244105,42.17255271121121,2,0
"Solomon Islands",-9.64571,160.156194,2,0
"Seychelles",-4.679574,55.491977,2,0
"Sudan",15.52637329678697,29.893532109375087,0,0
"South Sudan",7.082832100084824,30.078413917996215,2,0
"Sweden",63.30350300416413,15.973810490632161,0,0
"Singapore",1.352083,103.819836,2,0
"Saint Helena",-15.974267341093537,-5.719794611562776,2,0
"Slovenia",45.874622781808284,14.589376221797892,2,0
"Svalbard and Jan Mayen",77.553604,23.670272,2,0
"Slovakia",48.669026,19.699024,2,0
"Sierra Leone",8.460555,-11.779889,2,0
"San Marino",43.94918377467146,12.45625943080276,2,0
"Senegal",14.497401,-14.452362,1,0
"Somalia",3.6764232770836047,45.05466492187509,1,0
"Suriname",3.919305,-56.027783,1,0
"São Tomé and Príncipe",0.18636,6.613081,4,0
"El Salvador",13.794185,-88.89653,2,0
"Syria",34.802075,38.996815,1,0
"Swaziland",-26.522503,31.465866,2,0
"Turks and Caicos Islands",21.694025,-71.797928,2,0
"Chad",15.454166,18.732207,0,0
"French Southern Territories",-49.280366,69.348557,2,0
"Togo",8.540484414025649,1.033642828296479,2,0
"Thailand",15.870032,100.992541,0,0
"Tajikistan",38.861034,71.276093,2,0
"Tokelau",-8.967363,-171.855881,2,0
"Timor-Leste",-8.874217,125.727539,2,0
"Turkmenistan",38.969719,59.556278,1,0
"Tunisia",33.886917,9.537499,2,0
"Tonga",-21.178986,-175.198242,2,0
"Turkey",38.963745,35.243322,0,0
"Trinidad & Tobago",10.691803,-61.222503,2,0
"Tuvalu",-7.109535,177.64933,2,0
"Taiwan",23.69781,120.960515,2,0
"Tanzania",-6.369028,34.888822,1,0
"Ukraine",48.70524908234531,32.318433846108576,0,0
"Uganda",1.373333,32.290275,2,0
"United States",38.53989316085419,-100.84191576027767,0,0
"Uruguay",-33.522779,-55.765835,1,0
"Uzbekistan",41.377491,64.585262,1,0
"Vatican City",41.902916,12.453389,8,0
"Saint Vincent and the Grenadines",12.984305,-61.287228,4,0
"Venezuela",7.55375,-65.90973,0,0
"British Virgin Islands",18.420695,-64.639968,4,0
"U.S. Virgin Islands",18.335765,-64.896335,5,0
"Vietnam",14.058324,108.277199,1,0
"Vanuatu",-15.376706,166.959158,2,0
"Wallis and Futuna",-13.768752,-177.156097,2,0
"Samoa",-13.759029,-172.104629,2,0
"Kosovo",42.602636,20.902977,2,0
"Yemen",15.552727,48.516388,0,0
"Mayotte",-12.8275,45.166244,2,0
"South Africa",-30.559482,22.937506,0,0
"Zambia",-14.677502385966429,26.513053848281743,1,0
"Zimbabwe",-19.015438,29.154857,0,0